City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faanui,PF,-16.4833,-151.75,81.79,72,6,17.18,clear sky
1,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,26,3.0,scattered clouds
2,Yellowknife,CA,62.456,-114.3525,-11.0,70,75,5.75,light snow
3,Cabo San Lucas,MX,22.8909,-109.9124,64.0,60,100,5.99,overcast clouds
4,Merauke,ID,-8.4667,140.3333,84.25,74,97,14.25,overcast clouds
5,Bluff,NZ,-46.6,168.3333,77.0,49,100,11.99,overcast clouds
6,Bethel,US,41.3712,-73.414,27.0,93,90,3.44,light snow
7,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,12,3.44,few clouds
8,Mount Isa,AU,-20.7333,139.5,89.6,48,0,5.75,clear sky
9,Avarua,CK,-21.2078,-159.775,86.0,66,20,16.11,few clouds
10,Cape Town,ZA,-33.9258,18.4232,68.0,82,0,16.11,clear sky
11,Rikitea,PF,-23.1203,-134.9692,80.44,72,6,11.12,clear sky
12,Mataura,NZ,-46.1927,168.8643,77.0,49,100,11.99,overcast clouds
13,Port Macquarie,AU,-31.4333,152.9167,87.01,62,4,4.0,clear sky
14,Punta Arenas,CL,-53.15,-70.9167,44.6,57,40,24.16,scattered clouds
15,Vaini,TO,-21.2,-175.2,82.4,83,75,11.5,broken clouds
16,Kasongo-Lunda,CD,-6.4667,16.8167,69.46,94,100,1.23,overcast clouds
17,Gezing,AT,47.9178,13.1299,30.2,86,75,6.91,snow
18,Barrow,US,71.2906,-156.7887,-16.6,69,40,9.22,haze
19,Hobart,AU,-42.8794,147.3294,59.0,41,75,14.97,broken clouds
20,Isangel,VU,-19.55,169.2667,86.0,70,75,14.97,broken clouds
21,Busselton,AU,-33.65,115.3333,66.99,71,11,7.0,few clouds
22,Darab,IR,28.7519,54.5444,46.87,46,0,5.06,clear sky
23,San Policarpo,PH,12.1791,125.5072,81.0,84,100,12.95,overcast clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,75,12.66,light snow
25,Ushuaia,AR,-54.8,-68.3,39.2,81,75,4.61,light snow
26,Sandy Bay,AU,-42.913,147.3532,59.0,41,75,14.97,broken clouds
27,West Wendover,US,40.7391,-114.0733,28.4,86,75,9.22,broken clouds
28,Bengkulu,ID,-3.8004,102.2655,74.3,88,100,3.8,light rain
29,Lincoln,US,40.8,-96.667,19.4,68,90,11.5,overcast clouds
30,Chuy,UY,-33.6971,-53.4616,75.6,80,100,9.17,light rain
31,Sioux Lookout,CA,50.1001,-91.917,-11.2,77,40,5.75,scattered clouds
32,Ostrovnoy,RU,68.0531,39.5131,6.28,94,100,15.77,light snow
33,Loreto,MX,22.2667,-101.9667,63.05,29,100,11.86,overcast clouds
34,Lompoc,US,34.6391,-120.4579,51.8,58,90,5.75,overcast clouds
35,Butaritari,KI,3.0707,172.7902,81.25,75,0,9.35,clear sky
36,Mar Del Plata,AR,-38.0023,-57.5575,71.01,94,75,7.83,mist
37,Eureka,US,40.8021,-124.1637,43.0,85,100,10.0,moderate rain
38,Tiksi,RU,71.6872,128.8694,-37.12,83,100,4.03,overcast clouds
39,East London,ZA,-33.0153,27.9116,72.3,88,100,8.84,light rain
40,Sivaki,RU,52.6333,126.75,-11.67,90,100,4.29,overcast clouds
41,Beringovskiy,RU,63.05,179.3167,-6.38,90,100,18.28,overcast clouds
42,Monticello,US,45.3055,-93.7941,10.4,56,1,6.96,clear sky
43,Wichita Falls,US,33.9137,-98.4934,42.8,56,1,9.22,clear sky
44,Saskylakh,RU,71.9167,114.0833,-36.33,82,28,1.68,scattered clouds
45,Kodiak,US,57.79,-152.4072,37.4,48,1,17.27,clear sky
46,Pangnirtung,CA,66.1451,-65.7125,4.75,69,0,1.72,clear sky
47,Olga,RU,43.7444,135.2892,21.13,81,0,18.41,clear sky
48,Sharan,RU,54.8167,54.0,22.35,97,100,13.87,overcast clouds
49,Noumea,NC,-22.2763,166.4572,89.6,43,75,4.61,broken clouds
50,Pitimbu,BR,-7.4706,-34.8086,78.8,83,20,9.22,few clouds
51,Dali,CN,25.7,100.1833,41.09,67,0,3.2,clear sky
52,Ferrol,ES,43.4832,-8.2369,57.99,90,93,8.61,overcast clouds
53,Ancud,CL,-41.8697,-73.8203,57.2,67,90,4.61,overcast clouds
54,Belaya Gora,RU,68.5333,146.4167,-31.09,81,100,2.21,overcast clouds
55,Albany,US,42.6001,-73.9662,28.99,77,100,10.85,light snow
56,Ribeira Grande,PT,38.5167,-28.7,63.32,80,97,32.95,overcast clouds
57,Port Blair,IN,11.6667,92.75,77.38,82,51,8.14,broken clouds
58,Tacuarembo,UY,-31.7333,-55.9833,71.29,97,100,3.47,overcast clouds
59,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.76,56,50,1.48,scattered clouds
60,Ilulissat,GL,69.2167,-51.1,2.48,92,99,2.57,overcast clouds
61,Castro,BR,-24.7911,-50.0119,64.44,94,100,3.53,overcast clouds
62,Nantucket,US,41.2835,-70.0995,33.01,100,90,5.75,snow
63,Hithadhoo,MV,-0.6,73.0833,80.4,77,85,10.47,overcast clouds
64,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,14.97,few clouds
65,Airai,TL,-8.9266,125.4092,69.49,80,100,3.69,overcast clouds
66,Ola,RU,59.5833,151.2833,-6.59,84,87,10.98,overcast clouds
67,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,40,8.05,scattered clouds
68,Port Hedland,AU,-20.3167,118.5667,96.8,19,0,14.97,clear sky
69,Itaqui,BR,-29.1253,-56.5531,75.94,89,100,9.89,overcast clouds
70,Kruisfontein,ZA,-34.0033,24.7314,71.01,83,98,6.58,overcast clouds
71,Bandarbeyla,SO,9.4942,50.8122,72.32,77,46,18.68,scattered clouds
72,Bria,CF,6.5423,21.9863,74.35,32,75,3.74,broken clouds
73,Atuona,PF,-9.8,-139.0333,78.62,78,0,15.88,clear sky
74,Provideniya,RU,64.3833,-173.3,6.8,78,75,17.9,broken clouds
75,Quibdo,CO,5.6947,-76.6611,75.83,93,100,0.94,overcast clouds
76,Khandyga,RU,62.6667,135.6,-51.81,76,62,2.35,broken clouds
77,Cayenne,GF,4.9333,-52.3333,77.0,100,75,13.67,broken clouds
78,Kapaa,US,22.0752,-159.319,77.0,78,90,14.97,overcast clouds
79,Pocone,BR,-16.2567,-56.6228,81.36,68,100,5.35,moderate rain
80,Narsaq,GL,60.9167,-46.05,9.72,78,0,9.46,clear sky
81,Kavieng,PG,-2.5744,150.7967,85.08,72,100,9.98,overcast clouds
82,Sept-Iles,CA,50.2001,-66.3821,30.2,86,87,2.3,overcast clouds
83,Kamina,CD,-8.7386,24.9906,62.04,95,100,0.81,overcast clouds
84,Opuwo,NA,-18.0607,13.84,68.2,69,100,2.28,overcast clouds
85,Agaro,ET,7.85,36.65,59.72,71,1,1.39,clear sky
86,Marawi,PH,7.9986,124.2928,81.0,81,100,1.99,overcast clouds
87,Bilibino,RU,68.0546,166.4372,-18.92,82,100,5.86,overcast clouds
88,Kaitangata,NZ,-46.2817,169.8464,71.26,50,100,3.65,light rain
89,San Luis,AR,-33.295,-66.3356,77.07,26,0,9.42,clear sky
90,Grindavik,IS,63.8424,-22.4338,28.4,54,0,20.71,clear sky
91,Saint Anthony,US,45.0205,-93.218,15.8,52,1,4.61,clear sky
92,Port Alfred,ZA,-33.5906,26.891,69.01,95,100,4.85,moderate rain
93,Mersing,MY,2.4312,103.8405,75.2,88,40,4.61,scattered clouds
94,Houston,US,29.7633,-95.3633,70.0,43,90,8.05,overcast clouds
95,Pevek,RU,69.7008,170.3133,-29.6,85,17,1.92,few clouds
96,Georgetown,MY,5.4112,100.3354,79.0,88,20,4.61,few clouds
97,Paamiut,GL,61.994,-49.6678,15.17,79,0,10.49,clear sky
98,Sitka,US,57.0531,-135.33,32.0,47,40,7.27,scattered clouds
99,Polunochnoye,RU,60.8697,60.4153,22.37,95,100,7.83,overcast clouds
100,Guerrero Negro,MX,27.9769,-114.0611,58.24,56,100,12.55,overcast clouds
101,Goderich,CA,43.7501,-81.7165,26.6,86,99,12.66,overcast clouds
102,Dahanu,IN,19.9667,72.7333,63.64,45,52,10.18,broken clouds
103,Riyadh,SA,24.6877,46.7219,51.8,30,0,5.21,clear sky
104,Hilo,US,19.7297,-155.09,78.8,65,1,9.22,moderate rain
105,Carnarvon,AU,-24.8667,113.6333,73.4,56,40,31.07,scattered clouds
106,Katsuura,JP,35.1333,140.3,50.0,96,100,3.0,moderate rain
107,Arkhangelsk,RU,64.5401,40.5433,32.0,100,90,6.71,light snow
108,Asilah,MA,35.465,-6.0348,60.8,100,75,2.3,mist
109,Avera,US,33.194,-82.5271,64.4,74,90,3.44,haze
110,Olafsvik,IS,64.8945,-23.7142,28.06,87,100,20.62,overcast clouds
111,Lata,PT,40.1629,-8.3327,59.0,100,100,0.94,overcast clouds
112,Constitucion,CL,-35.3333,-72.4167,55.17,77,0,13.56,clear sky
113,Jamestown,US,42.097,-79.2353,33.01,100,90,15.1,light snow
114,Itupiranga,BR,-5.1347,-49.3267,74.71,94,98,1.25,overcast clouds
115,Balikpapan,ID,-1.2675,116.8289,78.8,94,40,2.3,scattered clouds
116,Timizart,DZ,36.8,4.2667,47.93,71,0,5.39,clear sky
117,Fortuna,US,40.5982,-124.1573,39.99,93,90,29.93,moderate rain
118,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,73,0,18.41,clear sky
119,Bodden Town,KY,19.2833,-81.25,79.0,78,0,5.75,clear sky
120,Luderitz,NA,-26.6481,15.1594,65.97,62,11,24.23,few clouds
121,Hasaki,JP,35.7333,140.8333,48.0,87,75,4.61,light rain
122,Dumka,IN,24.2667,87.25,49.98,52,0,5.53,clear sky
123,Nakamura,JP,32.9833,132.9333,53.29,81,100,6.29,light rain
124,Thinadhoo,MV,0.5333,72.9333,80.19,78,100,11.12,overcast clouds
125,Khatanga,RU,71.9667,102.5,-25.73,82,43,9.01,scattered clouds
126,Codrington,AU,-38.2667,141.9667,60.66,63,100,19.01,overcast clouds
127,Berlevag,NO,70.8578,29.0864,25.12,95,100,28.32,light snow
128,Umred,IN,20.85,79.3333,64.4,59,20,3.44,haze
129,Saint-Philippe,RE,-21.3585,55.7679,75.2,64,0,9.22,clear sky
130,Leshukonskoye,RU,64.8989,45.7622,26.82,98,100,6.11,overcast clouds
131,Souillac,MU,-20.5167,57.5167,73.4,83,20,6.91,few clouds
132,Picota,PE,-6.9197,-76.3304,74.66,86,100,2.26,light rain
133,Ponta Do Sol,PT,32.6667,-17.1,64.4,77,40,6.91,scattered clouds
134,Umm Kaddadah,SD,13.6017,26.6876,65.43,24,0,11.54,clear sky
135,Victoria,HK,22.2855,114.1577,64.99,77,5,1.01,clear sky
136,Porbandar,IN,21.6422,69.6093,59.58,34,0,11.23,clear sky
137,Phayao,TH,19.25,100.25,66.0,99,0,0.27,clear sky
138,Bambous Virieux,MU,-20.3428,57.7575,73.99,83,20,6.91,few clouds
139,Port Hawkesbury,CA,45.6169,-61.3485,30.99,100,1,2.3,clear sky
140,Salalah,OM,17.0151,54.0924,73.4,31,0,9.22,clear sky
141,Auki,SB,-8.7676,160.7034,82.62,80,100,11.74,overcast clouds
142,Dunedin,NZ,-45.8742,170.5036,73.71,45,100,16.51,light rain
143,Caiaponia,BR,-16.9567,-51.8103,70.59,84,97,2.86,light rain
144,Bulawayo,ZW,-20.15,28.5833,60.51,97,73,7.05,broken clouds
145,Aklavik,CA,68.2191,-135.0107,-11.2,77,100,2.3,overcast clouds
146,Aberystwyth,GB,52.4155,-4.0829,45.0,100,100,1.01,moderate rain
147,Lagoa,PT,39.05,-27.9833,63.0,82,100,35.28,overcast clouds
148,Turayf,SA,31.6725,38.6637,44.6,49,0,13.8,clear sky
149,Srednekolymsk,RU,67.45,153.6833,-29.83,83,100,10.04,overcast clouds
150,Aracuai,BR,-16.8497,-42.0703,71.06,78,100,4.92,overcast clouds
151,New Norfolk,AU,-42.7826,147.0587,57.99,51,100,3.87,overcast clouds
152,Huejuquilla El Alto,MX,22.6,-103.8667,54.39,36,66,5.23,broken clouds
153,Agapovka,RU,53.2973,59.1348,24.8,86,40,17.9,scattered clouds
154,Pobe,BJ,6.9801,2.6649,75.0,88,50,2.59,scattered clouds
155,Lavrentiya,RU,65.5833,-171.0,-3.62,87,6,5.3,clear sky
156,Koungou,YT,-12.7336,45.2042,78.8,83,0,4.61,clear sky
157,Neiafu,TO,-18.65,-173.9833,78.8,83,90,12.66,light rain
158,Novonikolsk,RU,43.8506,131.8645,21.2,63,0,8.95,clear sky
159,Hirara,JP,24.8,125.2833,68.0,73,75,11.5,broken clouds
160,Dikson,RU,73.5069,80.5464,-24.86,85,100,7.94,overcast clouds
161,Lakes Entrance,AU,-37.8811,147.981,69.01,44,0,1.99,clear sky
162,Sao Filipe,CV,14.8961,-24.4956,72.77,70,0,3.24,clear sky
163,Yeniseysk,RU,58.4497,92.1703,-31.99,81,100,9.95,overcast clouds
164,Bambanglipuro,ID,-7.95,110.2833,78.57,82,100,3.85,overcast clouds
165,Sargatskoye,RU,55.6101,73.4972,31.53,98,100,14.45,overcast clouds
166,Margate,GB,51.3813,1.3862,43.0,90,100,4.0,overcast clouds
167,Zakamensk,RU,50.3741,103.2863,-24.0,78,97,2.48,overcast clouds
168,Mapiripan,CO,2.8892,-72.1256,75.29,74,6,3.89,clear sky
169,San Quintin,MX,30.4833,-115.95,54.45,55,0,11.72,clear sky
170,Saint-Augustin,CA,51.226,-58.6502,22.66,94,91,13.27,overcast clouds
171,Saint Augustine,US,29.8947,-81.3145,71.6,83,20,3.44,few clouds
172,Clyde River,CA,70.4692,-68.5914,3.2,85,1,31.07,snow
173,Cukai,MY,4.25,103.4167,73.4,100,40,5.75,scattered clouds
174,Kayes,ML,14.0,-11.0,72.63,16,0,6.82,clear sky
175,Barranca De Upia,CO,4.5696,-72.9668,79.99,56,99,3.0,overcast clouds
176,Sola,VU,-13.8833,167.55,86.0,79,90,9.22,light rain
177,Tasiilaq,GL,65.6145,-37.6368,8.74,93,100,9.86,snow
178,Longyearbyen,SJ,78.2186,15.6401,6.8,51,0,18.41,clear sky
179,Kawai,JP,34.2333,135.85,55.4,71,75,5.75,broken clouds
180,Nikolskoye,RU,59.7035,30.7861,35.6,87,90,8.95,light snow
181,Chumphon,TH,10.3333,98.8333,81.0,74,75,3.44,broken clouds
182,Hamilton,US,39.1834,-84.5333,37.99,70,90,16.11,overcast clouds
183,Nanortalik,GL,60.1432,-45.2371,15.13,83,0,6.55,clear sky
184,Kerchevskiy,RU,59.946,56.2884,20.46,98,99,5.3,overcast clouds
185,Meulaboh,ID,4.1363,96.1285,75.38,87,100,4.9,overcast clouds
186,Buraydah,SA,26.326,43.975,53.6,58,0,5.91,clear sky
187,Benton Harbor,US,42.1167,-86.4542,30.2,69,90,6.91,overcast clouds
188,Garissa,KE,-0.4536,39.6401,75.06,74,0,8.95,clear sky
189,Masasi,TZ,-10.7167,38.8,67.53,100,4,2.57,clear sky
190,Kushiro,JP,42.975,144.3747,24.8,100,90,9.22,moderate rain
191,Hermanus,ZA,-34.4187,19.2345,62.01,93,69,3.33,light rain
192,Shu,KZ,43.5983,73.7614,9.01,91,0,1.92,clear sky
193,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.8,50,40,11.5,scattered clouds
194,Gazanjyk,TM,39.2446,55.5154,32.23,91,51,9.86,broken clouds
195,Storforshei,NO,66.4043,14.5233,14.88,85,0,3.62,clear sky
196,Padang,ID,-0.9492,100.3543,75.2,88,20,2.3,moderate rain
197,Hanyang,CN,32.1371,105.5126,34.0,78,51,1.99,broken clouds
198,Marsh Harbour,BS,26.5412,-77.0636,74.59,82,26,6.35,scattered clouds
199,Khoy,IR,38.5504,44.9535,19.56,85,7,0.89,clear sky
200,Santa Cruz,BO,-17.8,-63.1667,73.4,88,75,16.11,broken clouds
201,Miguelopolis,BR,-20.1794,-48.0319,71.78,84,100,3.22,overcast clouds
202,Kirovskiy,RU,45.0917,133.5136,9.84,93,19,7.49,few clouds
203,Makakilo City,US,21.3469,-158.0858,80.6,54,75,12.66,broken clouds
204,San Andres,CO,12.5847,-81.7006,81.03,74,23,17.43,few clouds
205,San Ignacio,BZ,17.1561,-89.0714,75.99,67,0,5.97,clear sky
206,Dryden,CA,49.7833,-92.7503,-7.6,71,40,5.75,scattered clouds
207,Surt,LY,31.2089,16.5887,57.54,56,27,26.28,scattered clouds
208,Ankpa,NG,7.3706,7.6253,74.52,21,75,5.53,broken clouds
209,Inhambane,MZ,-23.865,35.3833,78.03,87,98,6.35,overcast clouds
210,Taltal,CL,-25.4,-70.4833,67.21,68,0,6.62,clear sky
211,Sendafa,ET,9.15,39.0333,47.37,45,0,2.82,clear sky
212,Balkanabat,TM,39.5108,54.3671,37.35,71,48,4.45,scattered clouds
213,Winsum,NL,53.33,6.5208,37.0,93,100,1.99,overcast clouds
214,Saint-Joseph,RE,-21.3667,55.6167,75.2,64,0,9.22,clear sky
215,Tonj,SS,7.2737,28.6822,73.58,31,8,3.96,clear sky
216,Namatanai,PG,-3.6667,152.4333,85.15,68,89,7.83,overcast clouds
217,Lebu,CL,-37.6167,-73.65,56.82,78,91,16.42,overcast clouds
218,Geraldton,AU,-28.7667,114.6,70.3,65,93,17.07,overcast clouds
219,Deputatskiy,RU,69.3,139.9,-39.17,84,100,3.18,overcast clouds
220,Campbell River,CA,50.0163,-125.2446,36.0,93,75,3.15,broken clouds
221,Thompson,CA,55.7435,-97.8558,-14.8,84,75,3.76,light snow
222,Malanje,AO,-9.5402,16.341,64.67,92,100,3.09,overcast clouds
223,Kot Samaba,PK,28.5522,70.4684,42.89,59,0,1.95,clear sky
224,Talcahuano,CL,-36.7167,-73.1167,60.8,59,0,13.8,clear sky
225,Jasper,US,37.2001,-94.3502,30.99,86,90,10.36,overcast clouds
226,Port Shepstone,ZA,-30.7414,30.455,75.29,82,100,9.75,overcast clouds
227,Portland,US,45.5234,-122.6762,36.0,93,90,26.46,light rain
228,Tambura,SS,5.6,27.4667,69.44,39,70,2.64,broken clouds
229,Liverpool,GB,53.4106,-2.9779,48.2,93,90,11.5,overcast clouds
230,Alofi,NU,-19.0595,-169.9187,84.2,74,75,11.5,moderate rain
231,Christchurch,NZ,-43.5333,172.6333,95.0,18,0,13.8,clear sky
